A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.	For some time after its birth, it grows by gaining nourishment from the seed on its back.		redbluedex leafgreendex	dpptdex bwdex b2w2dex	
It possesses legs of enormous strength, enabling it to carry heavy slabs for many days, even when crossing arid land.	Competing for territory, Crustle fight viciously. The one whose boulder is broken is the loser of the battle.		whitedex	blackdex	
Its skin has a rubbery elasticity, so it can reduce damage by defensively pulling its skin up to its neck.	Proud of its sturdy skull, it suddenly headbutts everything, but its weight makes it unstable, too.			b2w2dex	
					
The guardians of an ancient city, they use their psychic power to attack enemies that invade their territory.	The guardians of an ancient city, they always fly the same route while keeping watch for invaders.		whitedex	b2w2dex	
					
					
	Restored from a fossil, this Pokémon can dive to depths beyond half a mile.			blackdex	
					
	Said to be an ancestor of bird Pokémon, they were unable to fly and moved about by hopping from one branch to another.			blackdex	
					
The combination of garbage bags and industrial waste caused the chemical reaction that created this Pokémon.	Inhaling the gas they belch will make you sleep for a week. They prefer unsanitary places.		whitedex	blackdex	
It clenches opponents with its left arm and finishes them off with foul-smelling poison gas belched from its mouth.	Consuming garbage makes new kinds of poison gases and liquids inside their bodies.			b2w2dex	
It changes so it looks like its foe, tricks it, and then uses that opportunity to flee.	To protect themselves from danger, they hide their true identities by transforming into people and Pokémon.			whitedex	
Each has the ability to fool a large group of people simultaneously. They protect their lair with illusory scenery.	Bonds between these Pokémon are very strong. It protects the safety of its pack by tricking its opponents.		whitedex	blackdex	
Minccino greet each other by grooming one another thoroughly with their tails.	These Pokémon prefer a tidy habitat. They are always sweeping and dusting, using their tails as brooms.		b2w2dex	whitedex	
					
Their ribbonlike feelers increase their psychic power. They are always staring at something.			blackdex		
Starlight is the source of their power. At night, they mark star positions by using psychic power to float stones.	According to many old tales, it creates friends for itself by controlling sleeping children on starry nights.		whitedex	b2w2dex	
Starry skies thousands of light-years away are visible in the space distorted by their intense psychic power.	They can predict the future from the placement and movement of the stars. They can see Trainers' life spans.		blackdex	whitedex	
Because their bodies are enveloped in a special liquid, they are fine in any environment, no matter how severe.	They drive away attackers by unleashing psychic power. They can use telepathy to talk with others.		b2w2dex	blackdex	
	When their two divided brains think the same thoughts, their psychic power is maximized.			b2w2dex	
	When Reuniclus shake hands, a network forms between their brains, increasing their psychic power.			blackdex	
When attacked, it uses its feathers to splash water, escaping under cover of the spray.	They are better at swimming than flying, and they happily eat their favorite food, peat moss, as they dive underwater.		whitedex	b2w2dex	
Despite their elegant appearance, they can flap their wings strongly and fly for thousands of miles.	Swanna start to dance at dusk. The one dancing in the middle is the leader of the flock.		b2w2dex	blackdex	
The temperature of their breath is -58 degrees Fahrenheit. They create snow crystals and make snow fall in the areas around them.	This Pokémon formed from icicles bathed in energy from the morning sun. It sleeps buried in snow.			whitedex	
					
					
					
They migrate according to the seasons. People can tell the season by looking at Sawsbuck's horns.			blackdex		
They live on treetops and glide using the inside of a cape-like membrane while discharging electricity.	The energy made in its cheeks' electric pouches is stored inside its membranes and released while it is gliding.		whitedex	blackdex	
These mysterious Pokémon evolve when they receive electrical stimulation while they are in the same place as .	For some reason they evolve when they receive electrical energy while they are attacking .		blackdex	b2w2dex	
Wearing the shell covering they stole from Shelmet, they defend themselves and attack with two lances.	These Pokémon evolve by wearing the shell covering of a . The steel armor protects their whole body.		b2w2dex	whitedex	
It lures people in with its Poké Ball pattern, then releases poison spores. Why it resembles a Poké Ball is unknown.	It lures Pokémon with its pattern that looks just like a Poké Ball then releases poison spores.		blackdex	b2w2dex	
They show off their Poké Ball caps to lure prey, but very few Pokémon are fooled by this.	It lures prey close by dancing and waving its arm caps, which resemble Poké Balls, in a swaying motion.		whitedex	blackdex	
					
					
Floating in the open sea is how they live. When they find a wounded Pokémon, they embrace it and bring it to shore.	It gently holds injured and weak Pokémon in its fins. Its special membrane heals their wounds.		whitedex	b2w2dex	
					
They employ an electrically charged web to trap their prey. While it is immobilized by shock, they leisurely consume it.	When attacked, they create an electric barrier by spitting out many electrically charged threads.		whitedex	blackdex	
When threatened, it attacks by shooting a barrage of spikes, which gives it a chance to escape by rolling away.	It absorbs the iron it finds in the rock while clinging to the ceiling. It shoots spikes when in danger.		blackdex	b2w2dex	
	They attach themselves to cave ceilings, firing steel spikes at targets passing beneath them.			whitedex	
					
	A minigear and big gear comprise its body. If the minigear it launches at a foe doesn't return, it will die.				
					
					
					
					
					
					
While shining a light and pretending to be a guide, it leeches off the life force of any who follow it.	Litwick shines a light that absorbs the life energy of people and Pokémon, which becomes the fuel that it burns.		whitedex	blackdex	
The spirits it absorbs fuel its baleful fire. It hangs around hospitals waiting for people to pass on.	It arrives near the moment of death and steals spirit from the body.		b2w2dex	whitedex	
Being consumed in Chandelure's flame burns up the spirit, leaving the body behind.			whitedex		
They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp.	They mark their territory by leaving gashes in trees with their tusks. If a tusk breaks, a new one grows in quickly.		blackdex	whitedex	
Their tusks can shatter rocks. Territory battles between Fraxure can be intensely violent.	A broken tusk will not grow back, so it diligently sharpens its tusks on river rocks after the end of a battle.		whitedex	b2w2dex	
	Their sturdy tusks will stay sharp even if used to cut steel beams. These Pokémon are covered in hard armor.			whitedex	
Its nose is always running. It sniffs the snot back up because the mucus provides the raw material for its moves.	Their snot is a barometer of health. When healthy, their snot is sticky and the power of their ice moves increases.		whitedex	b2w2dex	
They love the cold seas of the north. They create pathways across the ocean waters by freezing their own breath.	It freezes its breath to create fangs and claws of ice to fight with. Cold northern areas are its habitat.		b2w2dex	whitedex	
They are born in snow clouds. They use chains made of ice crystals to capture prey.	They are composed of ice crystals. They capture prey with chains of ice, freezing the prey at .		whitedex	b2w2dex	
When it and Karrablast are together, and both receive electrical stimulation, they both evolve.	It evolves when bathed in an electric-like energy along with . The reason is still unknown.			whitedex	
Having removed its heavy shell, it becomes very light and can fight with ninja-like movements.	When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane.		whitedex	blackdex	
Its skin is very hard, so it is unhurt even if stepped on by sumo wrestlers. It smiles when transmitting electricity.	It conceals itself in the mud of the seashore. Then it waits. When prey touch it, it delivers a jolt of electricity.		blackdex	whitedex	
It takes pride in the speed at which it can use moves. What it loses in power, it makes up for in quantity.	In fights, they dominate with onslaughts of flowing, continuous attacks. With their sharp claws, they cut enemies.		b2w2dex	blackdex	
It wields the fur on its arm like a whip. Its arm attacks come with such rapidity that they cannot even be seen.	Using the long fur on its arms like whips, it launches into combo attacks that, once started, no one can stop.			b2w2dex	
It races through narrow caves, using its sharp claws to catch prey. The skin on its face is harder than a rock.	It warms its body by absorbing sunlight with its wings. When its body temperature falls, it can no longer move.		whitedex	blackdex	
The energy that burns inside it enables it to move, but no one has yet been able to identify this energy.	Ancient science fashioned this Pokémon from clay. It's been active for thousands of years.		blackdex	b2w2dex	
It is said that Golurk were ordered to protect people and Pokémon by the ancient people who made them.			whitedex		
Blades comprise this Pokémon's entire body. If battling dulls the blades, it sharpens them on stones by the river.	Ignoring their injuries, groups attack by sinking the blades that cover their bodies into their prey.		blackdex	b2w2dex	
	Bisharp pursues prey in the company of a large group of Pawniard. Then Bisharp finishes off the prey.				
					
They crush berries with their talons. They bravely stand up to any opponent, no matter how strong it is.	They will challenge anything, even strong opponents, without fear. Their frequent fights help them become stronger.		blackdex	whitedex	
For the sake of its friends, this brave warrior of the sky will not stop battling, even if injured.			b2w2dex		
Its wings are too tiny to allow it to fly. As the time approaches for it to evolve, it discards the bones it was wearing.	Their wings are too tiny to allow them to fly. They guard their posteriors with bones that were gathered by Mandibuzz.		blackdex		
					
Using their very hot, flame-covered tongues, they burn through Durant's steel bodies and consume their insides.	It draws in air through its tail, transforms it into fire, and uses it like a tongue. It melts Durant and eats them.		whitedex	b2w2dex	
Individuals each play different roles in driving Heatmor, their natural predator, away from their colony.	They attack in groups, covering themselves in steel armor to protect themselves from Heatmor.		b2w2dex	blackdex	
They cannot see, so they  and  to learn about their surroundings. Their bodies are covered in wounds.	Lacking sight, it's unaware of its surroundings, so it bumps into things and eats anything that moves.		whitedex	b2w2dex	
The two heads do not get along. Whichever head eats more than the other gets to be the leader.	After it has eaten up all the food in its territory, it moves to another area. Its two heads do not get along.		b2w2dex	blackdex	
Their heads on their arms do not have brains. They use all three heads to consume and destroy everything.	It responds to movement by attacking. This scary, three-headed Pokémon devours everything in its path!			b2w2dex	
Said to have been born from the sun, it spews fire from its horns and encases itself in a cocoon of fire when it evolves.	The base of volcanoes is where they make their homes. They shoot fire from their five horns to repel attacking enemies.		b2w2dex	whitedex	
A sea of fire engulfs the surroundings of their battles, since they use their six wings to scatter their ember scales.			whitedex		
					
					
					
					
					
					
					
					
					
					
					
The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock.	Such a thick shell of wood covers its head and back that even a direct hit from a truck wouldn't faze it.				
It relies on its sturdy shell to deflect predators' attacks. It counterattacks with its sharp quills.	They strengthen their lower bodies by running into one another. They are very kind and won't start fights.				
Its  is forceful enough to flip a 50-ton tank. It shields its allies from danger with its own body.	When it takes a defensive posture with its fists guarding its face, it could withstand a bomb blast.				
Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit.	As it walks, it munches on a twig in place of a snack. It intimidates opponents by puffing hot air out of its ears.				
It has a twig stuck in its tail. With friction from its tail fur, it sets the twig on fire and launches into battle.	When the twig is plucked from its tail, friction sets the twig alight. The flame is used to send signals to its allies.				
It gazes into the flame at the tip of its branch to achieve a focused state, which allows it to see into the future.	Using psychic power, it generates a fiery vortex of 5,400 degree Fahrenheit, incinerating foes swept into this whirl of flame.				
It secretes flexible bubbles from its chest and back. The bubbles reduce the damage it would otherwise take when attacked.	It protects its skin by covering its body in delicate bubbles. Beneath its happy-go-lucky air, it keeps a watchful eye on its surroundings.				
It can throw bubble-covered pebbles with precise control, hitting empty cans up to a hundred feet away.	Its swiftness is unparalleled. It can scale a tower of more than 2,000 feet in a minute's time.				
It creates . When it spins them and throws them at high speed, these stars can split metal in two.	It appears and vanishes with a ninja’s grace. It toys with its enemies using swift movements, while slicing them with throwing stars of sharpest water.				
They use their large ears to dig burrows. They will dig the whole night through.	It has ears like shovels. Digging holes strengthens its ears so much that they can sever thick roots effortlessly.				
With their powerful ears, they can heft boulders of a ton or more with ease. They can be a big help at construction sites.	As powerful as an excavator, its ears can reduce dense bedrock to rubble. When it's finished digging, it lounges lazily.				
These friendly Pokémon send signals to one another with beautiful chirps and tail-feather movements.	Despite the beauty of its lilting voice, it's merciless to intruders that enter its territory.				
From its beak, it expels embers that set the tall grass on fire. Then it pounces on the bewildered prey that pop out of the grass.	The hotter the flame sac on its belly, the faster it can fly, but it takes some time to get the fire going.				
In the fever of an exciting battle, it showers embers from the gaps between its feathers and takes to the air.	When attacking prey, it can reach speeds of up to 310 mph. It finishes its prey off with a colossal kick.				
When under attack from bird Pokémon, it spews a poisonous black powder that causes paralysis on contact.	The powder that covers its body regulates its temperature, so it can live in any region or climate.				
It lives hidden within thicket shadows. When predators attack, it quickly bristles the fur covering its body in an effort to threaten them.	The beaks of birds can't begin to scratch its stalwart body. To defend itself, it spews powder.				
Vivillon with many different patterns are found all over the world. These patterns are affected by the climate of their habitat.	The patterns on this Pokémon’s wings depend on the climate and topography of its habitat. It scatters colorful scales.				
The stronger the opponent it faces, the more heat surges from its mane and the more power flows through its body.	They set off on their own from their pride and live by themselves to become stronger. These hot-blooded Pokémon are quick to fight.				
The male with the largest mane of fire is the leader of the pride.	With fiery breath of more than 10,000 degrees Fahrenheit, they viciously threaten any challenger. The females protect the pride’s cubs.				
It draws out and controls the hidden power of flowers. The flower Flabébé holds is most likely part of its body.	When it finds a flower it likes, it dwells on that flower its whole life long. It floats in the wind's embrace with an untroubled heart.				
It flutters around fields of flowers and cares for flowers that are starting to wilt. It draws out the power of flowers to battle.	When the flowers of a well-tended flower bed bloom, it appears and celebrates with an elegant dance.				
It claims exquisite flower gardens as its territory, and it obtains power from basking in the energy emitted by flowering plants.	In times long past, governors of castles would invite Florges to create flower gardens to embellish the castle domains.				
Thought to be one of the first Pokémon to live in harmony with humans, it has a placid disposition.	If it has sunshine and water, it doesn't need to eat, because it can generate energy from the leaves on its back.				
It can tell how its trainer is feeling by subtle shifts in the grip on its horns. This empathetic sense lets them run as if one being.	They inhabit mountainous regions. The leader of the herd is decided by a battle of clashing horns.				
It does its best to be taken seriously by its enemies, but its glare is not sufficiently intimidating. Chewing on a leaf is its trademark.	It does its level best to glare and pull a scary face, but it can't help grinning it anyone pats its head.				
Although it possesses a violent temperament, it won’t put up with bullying. It uses the leaf in its mouth to sense the movements of its enemies.	It charges ahead and bashes its opponents like a berserker, uncaring about any hits it might take. Its arms are mighty enough to snap a telephone pole.				
Trimming its fluffy fur not only makes it more elegant but also increases the swiftness of its movements.	Historically, in the Kalos region, these Pokémon were the designated guardians of the king.				
The organ that emits its intense psychic power is sheltered by its ears to keep power from leaking out.	It has enough psychic energy to blast everything within 300 feet of itself, but it has no control over its power.				
When in danger, it raises its ears and releases enough psychic power to grind a 10-ton truck to dust.	The eyeball patterns on the interior of its ears emit psychic energy. It keeps the patterns tightly covered because that power is too immense.				
Apparently this Pokémon is born when a departed spirit inhabits a sword. It attaches itself to people and drinks their life force.	If anyone dares to grab its hilt, it wraps a blue cloth around that person's arm and drains that person's life energy completely.				
When Honedge evolves, it divides into two swords, which cooperate via telepathy to coordinate attacks and slash their enemies to ribbons.	The complex attack patterns of its two swords are unstoppable, even for an opponent greatly accomplished at swordplay.				
Generations of kings were attended by these Pokémon, which used their spectral power to manipulate and control people and Pokémon.	Apparently, it can detect the innate qualities of leadership. According to legend, whoever it recognizes is destined to become king.				
It emits a scent that enraptures those who smell it. This fragrance changes depending on what it has eaten.	In the past, rather than using perfume, royal ladies carried a Spritzee that would waft a fragrance they liked.				
It devises various scents, pleasant and unpleasant, and emits scents that its enemies dislike in order to gain an edge in battle.	Its scent is so overpowering that, unless a Trainer happens to really enjoy the smell, he or she will have a hard time walking alongside it.				
To entangle its opponents in battle, it extrudes white threads as sweet and as sticky as cotton candy.	Because it eats nothing but sweets, its fur is as sticky sweet as cotton candy.				
It can distinguish the faintest of scents. It puts its sensitive sense of smell to use by helping pastry chefs in their work.	Its sense of smell is 100 million times better than a human's, so even the faintest scent tells it about everything in the area. It's like it can see with its nose!				
Opponents who stare at the flashing of the light-emitting spots on its body become dazed and lose their will to fight.	It flashes the light-emitting spots on its body, which drains its opponent's will to fight. It takes the opportunity to scuttle away and hide.				
It wields the most compelling hypnotic powers of any Pokémon, and it forces others to do whatever it wants.	It lures prey close with hypnotic motions, then wraps its tentacles around it before finishing it off with digestive fluids.				
Two Binacle live together on one rock. When they fight, one of them will move to a different rock.	They stretch and then contract, yanking their rocks along with them in bold hops. They eat seaweed that washes up on the shoreline.				
When they evolve, two  multiply into seven. They fight with the power of seven Binacle.	Barbaracle's legs and hands have minds of their own, and they will move independently. But they usually follow the head's orders.				
Camouflaged as rotten kelp, they spray liquid poison on prey that approaches unawares and then finish it off.	It looks just like rotten kelp. It hides from foes while storing up power for its evolution.				
Their poison is strong enough to eat through the hull of a tanker, and they spit it indiscriminately at anything that enters their territory.	Tales are told of ships that wander into seas where Dragalge live, never to return.				
They knock down flying prey by firing compressed water from their massive claws like shooting a pistol.	Through controlled expulsions of internal gas, it can expel water like a pistol shot. At close distances, it can shatter rock.				
Their enormous claws launch cannonballs of water powerful enough to pierce tanker hulls.	By expelling water from the nozzle in the back of its claw, it can move at a speed of 60 knots.				
They make their home in deserts. They can generate their energy from basking in the sun, so eating food is not a requirement.	The frills on either side of its head have cells that generate electricity when exposed to sunlight.				
They flare their frills and generate energy. A single Heliolisk can generate sufficient electricity to power a skyscraper.	It stimulates its muscles with electricity, boosting the  in its legs and enabling it to run 100 yards in five seconds.				
This Pokémon was restored from a fossil. If something happens that it doesn't like, it throws a tantrum and runs wild.	Its immense jaws have enough destructive force that it can chew up an automobile. It lived 100 million years ago.				
Thanks to its gargantuan jaws, which could shred thick metal plates as if they were paper, it was invincible in the ancient world it once inhabited.	Nothing could stop this Pokémon 100 million years ago, so it behaved like a king.				
This ancient Pokémon was restored from part of its body that had been frozen in ice for over 100 million years.	This calm Pokémon lived in a cold land where there were no violent predators like Tyrantrum.				
The diamond-shaped crystals on its body expel air as cold as -240 degrees Fahrenheit, surrounding its enemies and encasing them in ice.	Using its diamond-shaped crystals, it can instantly create a wall of ice to block an opponent's attack.				
It sends a soothing aura from its ribbonlike feelers to calm fights.	It wraps its ribbonlike feelers around the arm of its beloved Trainer and walks with him or her.				
Although its body is small, its proficient fighting skills enable it to keep up with big bruisers like  and .	With its wings, it controls its position in the air. It likes to attack from above, a maneuver that is difficult to defend against.				
Its whiskers serve as antennas. By sending and receiving electrical waves, it can communicate with others over vast distances.	It uses its tail to absorb electricity from power plants or from outlets in houses, and then it fires the electricity from its whiskers.				
Born from temperatures and pressures deep underground, it fires beams from the stone in its head.	It has slept underground for hundreds of millions of years since its birth. It's occasionally found during the excavation of caves.				
The weakest Dragon-type Pokémon, it lives in damp, shady places, so its body doesn't dry out.	It's covered in a slimy membrane that makes any punches or kicks slide off it harmlessly.				
It drives away opponents by excreting a sticky liquid that can dissolve anything. Its eyes devolved, so it can't see anything.	Its four horns are a high-performance radar system. It uses them to sense sounds and smells, rather than using ears or a nose.				
This very friendly -type Pokemon will hug its beloved Trainer, leaving that Trainer covered in sticky slime.	It attacks with retractable horns. It throws a punch that's the equivalent of the force of a hundred pro boxers.				
These key collectors threaten any attackers by fiercely jingling their keys at them.	It never lets go of a key that it likes, so people give it the keys to vaults and safes as a way to prevent crime.				
These Pokémon are created when spirits possess rotten tree stumps. They prefer to live in abandoned forests.	According to old tales, these Pokémon are stumps possessed by the spirits of children who died while lost in the forest.				
It can control trees at will. It will trap people who harm the forest, so they can never leave.	Using it roots as a nervous system, it controls the trees in the forest. It's kind to the Pokémon that reside in its body.				
The pumpkin body is inhabited by a spirit trapped in this world. As the sun sets, it becomes restless and active.	It is said to carry wandering spirits to the place where they belong so they can move on.				
Singing in eerie voices, they wander town streets on the night of the new moon. Anyone who hears their song is cursed.	It enwraps its prey in its hairlike arms. It sings joyfully as it observes the suffering of its prey.				
It blocks opponents' attacks with the ice that shields its body. It uses cold air to repair any cracks with new ice.	Using air of -150 degrees Fahrenheit, they freeze opponents solid. They live in herds above the snow line on mountains.				
Its ice-covered body is as hard as steel. Its cumbersome frame crushes anything that stands in its way.	The way several  huddle on its back make it look like an aircraft carrier made of ice.				
They live in pitch black caves. Their enormous ears can emit ultrasonic waves of 200,000 hertz.	Even a robust wrestler will become dizzy and unable to stand when exposed to its 200,000-hertz ultrasonic waves.				
They fly around on moonless nights and attack careless prey. Nothing can beat them in a battle in the dark.	The ultrasonic waves it emits from its ears can reduce a large boulder to pebbles. It swoops out of the dark to attack.				
Legends say it can share eternal life. It slept for a thousand years in the form of a tree before its revival.	When the horns on its head shine in seven different colors, it is said to be sharing everlasting life.				
When this legendary Pokémon's wings and tail feathers spread wide and glow red, it absorbs the life force of all living creatures.	When its life comes to an end, it absorbs the life energy of every living thing and turns into a cocoon once more.				
When the [[Kalos]] region's ecosystem falls into disarray, it appears and reveals its secret power.	It's hypothesized that it's monitoring those who destroy the ecosystem from deep in the cave where it lives.				
